year,country_code,gpr
2010.0,ARG,0.020809938432648778
2011.0,ARG,0.016001231657962006
2012.0,ARG,0.01864377091017862
2013.0,ARG,0.020959594927262515
2014.0,ARG,0.018787812480392557
2015.0,ARG,0.027529660224293668
2016.0,ARG,0.021718545234762132
2017.0,ARG,0.016709123272448778
2018.0,ARG,0.07845374344227214
2019.0,ARG,0.038957835834783815
2020.0,ARG,0.015481487188177804
2021.0,ARG,0.013722201071990034
2022.0,ARG,0.039458279963582754
2023.0,ARG,0.027870431309565902
2024.0,ARG,0.04124598934625586
2025.0,ARG,0.03711250090661148
2010.0,AUS,0.06562496566524108
2011.0,AUS,0.05599246872588992
2012.0,AUS,0.06192498281598091
2013.0,AUS,0.05854882330944141
2014.0,AUS,0.12426971271634102
2015.0,AUS,0.08203482907265425
2016.0,AUS,0.07304540711144607
2017.0,AUS,0.11699405157317717
2018.0,AUS,0.09539041792352994
2019.0,AUS,0.12962687015533447
2020.0,AUS,0.12218091947336991
2021.0,AUS,0.17193159274756908
2022.0,AUS,0.23753847616414228
2023.0,AUS,0.15552303505440554
2024.0,AUS,0.1676454252252976
2025.0,AUS,0.1921865859379371
2010.0,BEL,0.07228156163667639
2011.0,BEL,0.12301860004663467
2012.0,BEL,0.0817495856123666
2013.0,BEL,0.08308299165219069
2014.0,BEL,0.20464909759660563
2015.0,BEL,0.1993967288484176
2016.0,BEL,0.33036835057040054
2017.0,BEL,0.18291490152478218
2018.0,BEL,0.2437701461215814
2019.0,BEL,0.1660389006137848
2020.0,BEL,0.15386363739768663
2021.0,BEL,0.22562658910950026
2022.0,BEL,0.4924064017832279
2023.0,BEL,0.21391233367224535
2024.0,BEL,0.19857280515134335
2025.0,BEL,0.25726352507869404
2010.0,BRA,0.08535533957183361
2011.0,BRA,0.05405631319930156
2012.0,BRA,0.028294347304229934
2013.0,BRA,0.03451261669397354
2014.0,BRA,0.03927390122165283
2015.0,BRA,0.036294260527938604
2016.0,BRA,0.04102544556371868
2017.0,BRA,0.0386392866106083
2018.0,BRA,0.057883090572431684
2019.0,BRA,0.09960521788646777
2020.0,BRA,0.046037148140991725
2021.0,BRA,0.03938156304260095
2022.0,BRA,0.09077601476262014
2023.0,BRA,0.10553186200559139
2024.0,BRA,0.09635782365997632
2025.0,BRA,0.10084321349859238
2010.0,CAN,0.1524471684048573
2011.0,CAN,0.1415848402927319
2012.0,CAN,0.0971385467176636
2013.0,CAN,0.12965581379830837
2014.0,CAN,0.17236564680933952
2015.0,CAN,0.16557245204846063
2016.0,CAN,0.1818029172718525
2017.0,CAN,0.19514155512054762
2018.0,CAN,0.2803421126057704
2019.0,CAN,0.21582904768486819
2020.0,CAN,0.17730515946944556
2021.0,CAN,0.1750315042833487
2022.0,CAN,0.3994330105682214
2023.0,CAN,0.30021994064251584
2024.0,CAN,0.27671654149889946
2025.0,CAN,0.5027988081177076
2010.0,CHE,0.036335749085992575
2011.0,CHE,0.04500972262273232
2012.0,CHE,0.03219086234457791
2013.0,CHE,0.03806472740446528
2014.0,CHE,0.06728662798802058
2015.0,CHE,0.10239932678329448
2016.0,CHE,0.05889457898835341
2017.0,CHE,0.04565014410763979
2018.0,CHE,0.07755824907993276
2019.0,CHE,0.04695278995980819
2020.0,CHE,0.049713889214520655
2021.0,CHE,0.045105182100087404
2022.0,CHE,0.09283294466634591
2023.0,CHE,0.0641052583232522
2024.0,CHE,0.08201984036713839
2025.0,CHE,0.07351328401515882
2010.0,CHL,0.023342946893535554
2011.0,CHL,0.008902322539749244
2012.0,CHL,0.005789492550926904
2013.0,CHL,0.005639398004859686
2014.0,CHL,0.008031885081436485
2015.0,CHL,0.012335985898971558
2016.0,CHL,0.00854797929059714
2017.0,CHL,0.011815800952414671
2018.0,CHL,0.018914238278133173
2019.0,CHL,0.027832554886117578
2020.0,CHL,0.008762338741992911
2021.0,CHL,0.00721945861975352
2022.0,CHL,0.027071800276947517
2023.0,CHL,0.017802282236516476
2024.0,CHL,0.014740346659285327
2025.0,CHL,0.015696385215657454
2010.0,CHN,0.43414580325285596
2011.0,CHN,0.383118553707997
2012.0,CHN,0.4896654635667801
2013.0,CHN,0.388418676952521
2014.0,CHN,0.37944289048512775
2015.0,CHN,0.41240865737199783
2016.0,CHN,0.44965532918771106
2017.0,CHN,0.8143434425195059
2018.0,CHN,0.916705364982287
2019.0,CHN,0.8645223677158356
2020.0,CHN,0.7542644441127777
2021.0,CHN,0.733431339263916
2022.0,CHN,1.1764267683029175
2023.0,CHN,1.0535322825113933
2024.0,CHN,0.8718154033025106
2025.0,CHN,0.9947126855452856
2010.0,COL,0.039338670360545315
2011.0,COL,0.015389339784936359
2012.0,COL,0.023918001252847414
2013.0,COL,0.016603017419887085
2014.0,COL,0.020445810398086905
2015.0,COL,0.026067027278865378
2016.0,COL,0.03373824746813625
2017.0,COL,0.02699851997507115
2018.0,COL,0.027867468306794763
2019.0,COL,0.0775400714095061
2020.0,COL,0.034693424240686
2021.0,COL,0.017200661124661565
2022.0,COL,0.023633485815177362
2023.0,COL,0.033551944264521204
2024.0,COL,0.04060935403686017
2025.0,COL,0.10745055709655087
2010.0,DEU,0.26521002252896625
2011.0,DEU,0.26031916836897534
2012.0,DEU,0.24035267159342766
2013.0,DEU,0.2836620956659317
2014.0,DEU,0.5414480517307917
2015.0,DEU,0.5209106157223383
2016.0,DEU,0.4493142068386078
2017.0,DEU,0.46934999773899716
2018.0,DEU,0.5053521282970905
2019.0,DEU,0.4287399301926295
2020.0,DEU,0.4226485478381316
2021.0,DEU,0.4357735564311345
2022.0,DEU,1.2530546933412552
2023.0,DEU,0.6279067223270735
2024.0,DEU,0.5571793988347054
2025.0,DEU,0.7385389059782028
2010.0,DNK,0.0389659656987836
2011.0,DNK,0.027279924950562418
2012.0,DNK,0.01423679618164897
2013.0,DNK,0.01802899152971804
2014.0,DNK,0.029561698359126847
2015.0,DNK,0.04935723706148565
2016.0,DNK,0.03174634510651231
2017.0,DNK,0.02233479292287181
2018.0,DNK,0.04015490311818818
2019.0,DNK,0.037781894051780306
2020.0,DNK,0.022560846681396168
2021.0,DNK,0.03684832667931914
2022.0,DNK,0.09401815881331761
2023.0,DNK,0.07138915771308045
2024.0,DNK,0.059875113889575005
2025.0,DNK,0.12663339668263993
2010.0,EGY,0.13569630899777016
2011.0,EGY,0.42693832516670227
2012.0,EGY,0.2640106001247962
2013.0,EGY,0.22823537389437357
2014.0,EGY,0.22894447048505148
2015.0,EGY,0.24166147038340569
2016.0,EGY,0.1480358550325036
2017.0,EGY,0.19298816286027431
2018.0,EGY,0.10557658256342013
2019.0,EGY,0.11917508393526077
2020.0,EGY,0.11705779749900103
2021.0,EGY,0.10452916162709396
2022.0,EGY,0.1361967067544659
2023.0,EGY,0.41380900982767344
2024.0,EGY,0.5619860403239727
2025.0,EGY,0.31904875487089157
2010.0,ESP,0.07601998032381137
2011.0,ESP,0.07385711682339509
2012.0,ESP,0.06580955566217501
2013.0,ESP,0.04202497641866406
2014.0,ESP,0.07133171086510022
2015.0,ESP,0.09321073380609353
2016.0,ESP,0.08738826618840297
2017.0,ESP,0.11309835904588302
2018.0,ESP,0.0637620532264312
2019.0,ESP,0.08879956137388945
2020.0,ESP,0.08954281825572252
2021.0,ESP,0.05580771869669358
2022.0,ESP,0.16942768978575865
2023.0,ESP,0.11166179242233436
2024.0,ESP,0.112330530770123
2025.0,ESP,0.14732574423154196
2010.0,FIN,0.014926115283742547
2011.0,FIN,0.022367472857392084
2012.0,FIN,0.012843811069615185
2013.0,FIN,0.013060124008916318
2014.0,FIN,0.024747642028766375
2015.0,FIN,0.018355236776793998
2016.0,FIN,0.018662520063420136
2017.0,FIN,0.020611466684689123
2018.0,FIN,0.08129480399657041
2019.0,FIN,0.028114988196951646
2020.0,FIN,0.024850897025316954
2021.0,FIN,0.027537365444004536
2022.0,FIN,0.2336483852316936
2023.0,FIN,0.10712395949910085
2024.0,FIN,0.07906967572246988
2025.0,FIN,0.11169736894468467
2010.0,FRA,0.30200184881687164
2011.0,FRA,0.5031813060243925
2012.0,FRA,0.3687548985083898
2013.0,FRA,0.4823317254583041
2014.0,FRA,0.4922422344485919
2015.0,FRA,0.9657821903626124
2016.0,FRA,0.7489193926254908
2017.0,FRA,0.551187368730704
2018.0,FRA,0.5586947947740555
2019.0,FRA,0.48658857494592667
2020.0,FRA,0.45104282225171727
2021.0,FRA,0.47776849443713826
2022.0,FRA,0.920625165104866
2023.0,FRA,0.5891667132576307
2024.0,FRA,0.67727609227101
2025.0,FRA,0.8551034231980642
2010.0,GBR,0.8638160824775696
2011.0,GBR,0.9524019360542297
2012.0,GBR,0.8371571699778239
2013.0,GBR,0.9031898925701777
2014.0,GBR,1.0265032400687535
2015.0,GBR,0.9989469349384308
2016.0,GBR,0.9006747057040533
2017.0,GBR,0.9144709358612696
2018.0,GBR,1.0689780513445537
2019.0,GBR,0.9725230584541956
2020.0,GBR,0.7453187753756841
2021.0,GBR,0.8197903831799825
2022.0,GBR,1.7720248301823933
2023.0,GBR,1.2341475437084835
2024.0,GBR,1.5157339771588643
2025.0,GBR,1.693555936217308
2010.0,HKG,0.026896216867802043
2011.0,HKG,0.021570220046366256
2012.0,HKG,0.020782107564931113
2013.0,HKG,0.02492329621842752
2014.0,HKG,0.035569120586539306
2015.0,HKG,0.024436429608613253
2016.0,HKG,0.029536044302706916
2017.0,HKG,0.05237663149212798
2018.0,HKG,0.07984947436489165
2019.0,HKG,0.13819486865152916
2020.0,HKG,0.2082470931733648
2021.0,HKG,0.1461386444667975
2022.0,HKG,0.16175358928740025
2023.0,HKG,0.11366399268930157
2024.0,HKG,0.07319834424803655
2025.0,HKG,0.08456798208256562
2010.0,HUN,0.008080896087146053
2011.0,HUN,0.006062166532501578
2012.0,HUN,0.00910893230078121
2013.0,HUN,0.005677605338860303
2014.0,HUN,0.04233468339468042
2015.0,HUN,0.05643506099780401
2016.0,HUN,0.0402956532780081
2017.0,HUN,0.026346048340201378
2018.0,HUN,0.029317584858896833
2019.0,HUN,0.030125843283409875
2020.0,HUN,0.024650079275791843
2021.0,HUN,0.038915958954021335
2022.0,HUN,0.20807504343489805
2023.0,HUN,0.09423205691079299
2024.0,HUN,0.1028930302709341
2025.0,HUN,0.12059948205326994
2010.0,IDN,0.033126102217162647
2011.0,IDN,0.03425059871127208
2012.0,IDN,0.021312850682685774
2013.0,IDN,0.015832543605938554
2014.0,IDN,0.03165998705662787
2015.0,IDN,0.01936741794149081
2016.0,IDN,0.03759759454987943
2017.0,IDN,0.03619231120683253
2018.0,IDN,0.031972927312987544
2019.0,IDN,0.036150037233407296
2020.0,IDN,0.023627788061276078
2021.0,IDN,0.023597480651612084
2022.0,IDN,0.09348709353556235
2023.0,IDN,0.08016299052784841
2024.0,IDN,0.05411307808632652
2025.0,IDN,0.060820947866886854
2010.0,IND,0.22364875301718712
2011.0,IND,0.17280866267780462
2012.0,IND,0.1614477230856816
2013.0,IND,0.12141725420951843
2014.0,IND,0.1413507138689359
2015.0,IND,0.14886139892041683
2016.0,IND,0.1513726425667604
2017.0,IND,0.1589964268108209
2018.0,IND,0.16075781919062138
2019.0,IND,0.2163872787108024
2020.0,IND,0.1724291102339824
2021.0,IND,0.21335913861791292
2022.0,IND,0.32312707230448723
